,status,company,date,location,outcome,details,price
0,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
1,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
2,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
3,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
4,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
5,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
6,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
7,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
8,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
9,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
10,Retired,RVSN USSR,"Sat Dec 27, 1975 4:22 AM CST","Site 43/3, Plesetsk Cosmodrome, Russia",Success,The Molniya were Soviet communication satellites operating from an inclined highly elliptical earth orbit of 500 km × 40000 km with 12 hour period for coverage of high northern latitudes.,Unknown
